design_id,applicationNumber,registrationNumber,articleName,LCCode,image_id,image_url,image_local_path,source_json,modality,id
3020000000639-09-01,3020000000639,3002573120000,화장품용기,09-01,3020000000639-07,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230099f327e961a5ac51ae48af4135c23fab9f287717893769e3,img/3020000000639-09-01__3020000000639-07.JPG,2000_json/3020000000639-07.json,image+text,3020000000639-09-01::3020000000639-07
3020000000726-09-01,3020000000726,3002590780000,병,09-01,3020000000726-01,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423000a38f4d03ae02e78859ec8517f932d63b5747c8a32c42f51,img/3020000000726-09-01__3020000000726-01.JPG,2000_json/3020000000726-01.json,image+text,3020000000726-09-01::3020000000726-01
3020000000726-09-01,3020000000726,3002590780000,병,09-01,3020000000726-02,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423000a38f4d03ae02e78859ec8517f932d63d7103704a9367027,img/3020000000726-09-01__3020000000726-02.JPG,2000_json/3020000000726-02.json,image+text,3020000000726-09-01::3020000000726-02
3020000000726-09-01,3020000000726,3002590780000,병,09-01,3020000000726-03,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423000a38f4d03ae02e78859ec8517f932d63b3cd5abba2e6fa99,img/3020000000726-09-01__3020000000726-03.JPG,2000_json/3020000000726-03.json,image+text,3020000000726-09-01::3020000000726-03
3020000000726-09-01,3020000000726,3002590780000,병,09-01,3020000000726-04,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423000a38f4d03ae02e78859ec8517f932d63e728b57b6ba04587,img/3020000000726-09-01__3020000000726-04.JPG,2000_json/3020000000726-04.json,image+text,3020000000726-09-01::3020000000726-04
3020000000726-09-01,3020000000726,3002590780000,병,09-01,3020000000726-05,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423000a38f4d03ae02e78859ec8517f932d63f461002f67a0d160,img/3020000000726-09-01__3020000000726-05.JPG,2000_json/3020000000726-05.json,image+text,3020000000726-09-01::3020000000726-05
3020000000726-09-01,3020000000726,3002590780000,병,09-01,3020000000726-06,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423000a38f4d03ae02e78859ec8517f932d63ce47fd236a012577,img/3020000000726-09-01__3020000000726-06.JPG,2000_json/3020000000726-06.json,image+text,3020000000726-09-01::3020000000726-06
3020000000726-09-01,3020000000726,3002590780000,병,09-01,3020000000726-07,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423000a38f4d03ae02e78859ec8517f932d638b752e9069543a41,img/3020000000726-09-01__3020000000726-07.JPG,2000_json/3020000000726-07.json,image+text,3020000000726-09-01::3020000000726-07
3020000000778-09-01,3020000000778,3002715670000,포장용 용기,09-01,3020000000778-01,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423003267d3a705c3e4d98f27ea2c522497ceb3fc3dc06605d783,img/3020000000778-09-01__3020000000778-01.JPG,2000_json/3020000000778-01.json,image+text,3020000000778-09-01::3020000000778-01
3020000000778-09-01,3020000000778,3002715670000,포장용 용기,09-01,3020000000778-02,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423003267d3a705c3e4d98f27ea2c522497ceab102200aef6c109,img/3020000000778-09-01__3020000000778-02.JPG,2000_json/3020000000778-02.json,image+text,3020000000778-09-01::3020000000778-02
3020000000778-09-01,3020000000778,3002715670000,포장용 용기,09-01,3020000000778-03,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423003267d3a705c3e4d98f27ea2c522497cefecb62532b87ba02,img/3020000000778-09-01__3020000000778-03.JPG,2000_json/3020000000778-03.json,image+text,3020000000778-09-01::3020000000778-03
3020000000778-09-01,3020000000778,3002715670000,포장용 용기,09-01,3020000000778-04,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423003267d3a705c3e4d98f27ea2c522497ce5b30209237f779ac,img/3020000000778-09-01__3020000000778-04.JPG,2000_json/3020000000778-04.json,image+text,3020000000778-09-01::3020000000778-04
3020000000778-09-01,3020000000778,3002715670000,포장용 용기,09-01,3020000000778-05,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423003267d3a705c3e4d98f27ea2c522497ce8576d163bc7f1f6a,img/3020000000778-09-01__3020000000778-05.JPG,2000_json/3020000000778-05.json,image+text,3020000000778-09-01::3020000000778-05
3020000000778-09-01,3020000000778,3002715670000,포장용 용기,09-01,3020000000778-06,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423003267d3a705c3e4d98f27ea2c522497ce3a6a7e123a759346,img/3020000000778-09-01__3020000000778-06.JPG,2000_json/3020000000778-06.json,image+text,3020000000778-09-01::3020000000778-06
3020000000778-09-01,3020000000778,3002715670000,포장용 용기,09-01,3020000000778-07,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423003267d3a705c3e4d98f27ea2c522497cef8b1bc14c7fd1269,img/3020000000778-09-01__3020000000778-07.JPG,2000_json/3020000000778-07.json,image+text,3020000000778-09-01::3020000000778-07
3020000000780-09-01,3020000000780,3002715670001,포장용 용기,09-01,3020000000780-01,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230081a44be0fe209461ad0421485a2c93852366d67bdc8d8b37,img/3020000000780-09-01__3020000000780-01.JPG,2000_json/3020000000780-01.json,image+text,3020000000780-09-01::3020000000780-01
3020000000780-09-01,3020000000780,3002715670001,포장용 용기,09-01,3020000000780-02,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230081a44be0fe209461ad0421485a2c93851e04acbe49f3d774,img/3020000000780-09-01__3020000000780-02.JPG,2000_json/3020000000780-02.json,image+text,3020000000780-09-01::3020000000780-02
3020000000780-09-01,3020000000780,3002715670001,포장용 용기,09-01,3020000000780-03,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230081a44be0fe209461ad0421485a2c938599a5b5fb6f46cc79,img/3020000000780-09-01__3020000000780-03.JPG,2000_json/3020000000780-03.json,image+text,3020000000780-09-01::3020000000780-03
3020000000780-09-01,3020000000780,3002715670001,포장용 용기,09-01,3020000000780-04,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230081a44be0fe209461ad0421485a2c9385ec9a7b7352c41c95,img/3020000000780-09-01__3020000000780-04.JPG,2000_json/3020000000780-04.json,image+text,3020000000780-09-01::3020000000780-04
3020000000780-09-01,3020000000780,3002715670001,포장용 용기,09-01,3020000000780-05,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230081a44be0fe209461ad0421485a2c93855488d2be09ede77a,img/3020000000780-09-01__3020000000780-05.JPG,2000_json/3020000000780-05.json,image+text,3020000000780-09-01::3020000000780-05
3020000000780-09-01,3020000000780,3002715670001,포장용 용기,09-01,3020000000780-06,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230081a44be0fe209461ad0421485a2c93851184bd32d8406768,img/3020000000780-09-01__3020000000780-06.JPG,2000_json/3020000000780-06.json,image+text,3020000000780-09-01::3020000000780-06
3020000000780-09-01,3020000000780,3002715670001,포장용 용기,09-01,3020000000780-07,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230081a44be0fe209461ad0421485a2c9385fb3cbbe7773a7db4,img/3020000000780-09-01__3020000000780-07.JPG,2000_json/3020000000780-07.json,image+text,3020000000780-09-01::3020000000780-07
3020000000843-09-01,3020000000843,3002572950000,포장용 병,09-01,3020000000843-01,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e99b2acfcc6c677bc38cfbb896b57e90f51adc77a16c7638,img/3020000000843-09-01__3020000000843-01.JPG,2000_json/3020000000843-01.json,image+text,3020000000843-09-01::3020000000843-01
3020000000843-09-01,3020000000843,3002572950000,포장용 병,09-01,3020000000843-02,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e99b2acfcc6c677bc38cfbb896b57e904842fd58cecb58a1,img/3020000000843-09-01__3020000000843-02.JPG,2000_json/3020000000843-02.json,image+text,3020000000843-09-01::3020000000843-02
3020000000843-09-01,3020000000843,3002572950000,포장용 병,09-01,3020000000843-03,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e99b2acfcc6c677bc38cfbb896b57e906500645eea1161c2,img/3020000000843-09-01__3020000000843-03.JPG,2000_json/3020000000843-03.json,image+text,3020000000843-09-01::3020000000843-03
3020000000843-09-01,3020000000843,3002572950000,포장용 병,09-01,3020000000843-04,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e99b2acfcc6c677bc38cfbb896b57e908cee6d78c026bf58,img/3020000000843-09-01__3020000000843-04.JPG,2000_json/3020000000843-04.json,image+text,3020000000843-09-01::3020000000843-04
3020000000843-09-01,3020000000843,3002572950000,포장용 병,09-01,3020000000843-05,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e99b2acfcc6c677bc38cfbb896b57e9048dd5a26b1c17cec,img/3020000000843-09-01__3020000000843-05.JPG,2000_json/3020000000843-05.json,image+text,3020000000843-09-01::3020000000843-05
3020000000843-09-01,3020000000843,3002572950000,포장용 병,09-01,3020000000843-06,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e99b2acfcc6c677bc38cfbb896b57e90389d9d353ac2f34c,img/3020000000843-09-01__3020000000843-06.JPG,2000_json/3020000000843-06.json,image+text,3020000000843-09-01::3020000000843-06
3020000000843-09-01,3020000000843,3002572950000,포장용 병,09-01,3020000000843-07,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e99b2acfcc6c677bc38cfbb896b57e90878123af87d03e6a,img/3020000000843-09-01__3020000000843-07.JPG,2000_json/3020000000843-07.json,image+text,3020000000843-09-01::3020000000843-07
3020000000847-09-01,3020000000847,3002572980000,포장용 병,09-01,3020000000847-01,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e99b2acfcc6c677b67dc73b104714909a7d00073324062d7,img/3020000000847-09-01__3020000000847-01.JPG,2000_json/3020000000847-01.json,image+text,3020000000847-09-01::3020000000847-01
3020000000847-09-01,3020000000847,3002572980000,포장용 병,09-01,3020000000847-02,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e99b2acfcc6c677b67dc73b104714909dff371af4dbc2ea5,img/3020000000847-09-01__3020000000847-02.JPG,2000_json/3020000000847-02.json,image+text,3020000000847-09-01::3020000000847-02
3020000000847-09-01,3020000000847,3002572980000,포장용 병,09-01,3020000000847-03,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e99b2acfcc6c677b67dc73b104714909e3e8d963a07d0ef5,img/3020000000847-09-01__3020000000847-03.JPG,2000_json/3020000000847-03.json,image+text,3020000000847-09-01::3020000000847-03
3020000000847-09-01,3020000000847,3002572980000,포장용 병,09-01,3020000000847-04,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e99b2acfcc6c677b67dc73b104714909ac33e84854ecc7a2,img/3020000000847-09-01__3020000000847-04.JPG,2000_json/3020000000847-04.json,image+text,3020000000847-09-01::3020000000847-04
3020000000847-09-01,3020000000847,3002572980000,포장용 병,09-01,3020000000847-05,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e99b2acfcc6c677b67dc73b104714909c8350d870ebd8627,img/3020000000847-09-01__3020000000847-05.JPG,2000_json/3020000000847-05.json,image+text,3020000000847-09-01::3020000000847-05
3020000000847-09-01,3020000000847,3002572980000,포장용 병,09-01,3020000000847-06,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e99b2acfcc6c677b67dc73b10471490904d87b0dc1c81449,img/3020000000847-09-01__3020000000847-06.JPG,2000_json/3020000000847-06.json,image+text,3020000000847-09-01::3020000000847-06
3020000000847-09-01,3020000000847,3002572980000,포장용 병,09-01,3020000000847-07,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e99b2acfcc6c677b67dc73b10471490975cb5962edda8b35,img/3020000000847-09-01__3020000000847-07.JPG,2000_json/3020000000847-07.json,image+text,3020000000847-09-01::3020000000847-07
3020000000962-09-01,3020000000962,3002568230000,포장용 병,09-01,3020000000962-01,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423001ec5b0b95cb6d97de6848fcad7d2dac24c45522f6447a59a,img/3020000000962-09-01__3020000000962-01.JPG,2000_json/3020000000962-01.json,image+text,3020000000962-09-01::3020000000962-01
3020000000962-09-01,3020000000962,3002568230000,포장용 병,09-01,3020000000962-02,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423001ec5b0b95cb6d97de6848fcad7d2dac20fea027e693ad6ee,img/3020000000962-09-01__3020000000962-02.JPG,2000_json/3020000000962-02.json,image+text,3020000000962-09-01::3020000000962-02
3020000000962-09-01,3020000000962,3002568230000,포장용 병,09-01,3020000000962-03,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423001ec5b0b95cb6d97de6848fcad7d2dac21329684a4e171730,img/3020000000962-09-01__3020000000962-03.JPG,2000_json/3020000000962-03.json,image+text,3020000000962-09-01::3020000000962-03
3020000000962-09-01,3020000000962,3002568230000,포장용 병,09-01,3020000000962-04,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423001ec5b0b95cb6d97de6848fcad7d2dac2a5bb11ae90875871,img/3020000000962-09-01__3020000000962-04.JPG,2000_json/3020000000962-04.json,image+text,3020000000962-09-01::3020000000962-04
