design_id,applicationNumber,registrationNumber,articleName,LCCode,image_id,image_url,image_local_path,source_json,modality,id
3020000000039-09-01,3020000000039,3002602570000,포장용 병,09-01,3020000000039-01,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e663df0ee35bc8c6f313984ff39eaf8eb95017e992eca45e,img/3020000000039-09-01__3020000000039-01.JPG,2000_json/3020000000039-01.json,image+text,3020000000039-09-01::3020000000039-01
3020000000039-09-01,3020000000039,3002602570000,포장용 병,09-01,3020000000039-02,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e663df0ee35bc8c6f313984ff39eaf8e6f1959c75f61fb10,img/3020000000039-09-01__3020000000039-02.JPG,2000_json/3020000000039-02.json,image+text,3020000000039-09-01::3020000000039-02
3020000000039-09-01,3020000000039,3002602570000,포장용 병,09-01,3020000000039-03,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e663df0ee35bc8c6f313984ff39eaf8e9a4b98a5a974da09,img/3020000000039-09-01__3020000000039-03.JPG,2000_json/3020000000039-03.json,image+text,3020000000039-09-01::3020000000039-03
3020000000039-09-01,3020000000039,3002602570000,포장용 병,09-01,3020000000039-04,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e663df0ee35bc8c6f313984ff39eaf8e3c54bedf18f8dc36,img/3020000000039-09-01__3020000000039-04.JPG,2000_json/3020000000039-04.json,image+text,3020000000039-09-01::3020000000039-04
3020000000039-09-01,3020000000039,3002602570000,포장용 병,09-01,3020000000039-05,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e663df0ee35bc8c6f313984ff39eaf8e427018c29152d564,img/3020000000039-09-01__3020000000039-05.JPG,2000_json/3020000000039-05.json,image+text,3020000000039-09-01::3020000000039-05
3020000000039-09-01,3020000000039,3002602570000,포장용 병,09-01,3020000000039-06,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e663df0ee35bc8c6f313984ff39eaf8eca4bf4ef030fe2a9,img/3020000000039-09-01__3020000000039-06.JPG,2000_json/3020000000039-06.json,image+text,3020000000039-09-01::3020000000039-06
3020000000039-09-01,3020000000039,3002602570000,포장용 병,09-01,3020000000039-07,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b342300e663df0ee35bc8c6f313984ff39eaf8ee2565f291f470845,img/3020000000039-09-01__3020000000039-07.JPG,2000_json/3020000000039-07.json,image+text,3020000000039-09-01::3020000000039-07
3020000000414-09-01,3020000000414,3002597890000,포장용 용기,09-01,3020000000414-01,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423006edf72b06342e35d7d678bd865bf2d85918b7cced511e25f,img/3020000000414-09-01__3020000000414-01.JPG,2000_json/3020000000414-01.json,image+text,3020000000414-09-01::3020000000414-01
3020000000414-09-01,3020000000414,3002597890000,포장용 용기,09-01,3020000000414-02,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423006edf72b06342e35d7d678bd865bf2d85434e5346a844576a,img/3020000000414-09-01__3020000000414-02.JPG,2000_json/3020000000414-02.json,image+text,3020000000414-09-01::3020000000414-02
3020000000414-09-01,3020000000414,3002597890000,포장용 용기,09-01,3020000000414-03,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423006edf72b06342e35d7d678bd865bf2d8579abb73af71a399e,img/3020000000414-09-01__3020000000414-03.JPG,2000_json/3020000000414-03.json,image+text,3020000000414-09-01::3020000000414-03
3020000000414-09-01,3020000000414,3002597890000,포장용 용기,09-01,3020000000414-04,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423006edf72b06342e35d7d678bd865bf2d853560e34e0578d734,img/3020000000414-09-01__3020000000414-04.JPG,2000_json/3020000000414-04.json,image+text,3020000000414-09-01::3020000000414-04
3020000000414-09-01,3020000000414,3002597890000,포장용 용기,09-01,3020000000414-05,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423006edf72b06342e35d7d678bd865bf2d85bf49d153fa4e4dc4,img/3020000000414-09-01__3020000000414-05.JPG,2000_json/3020000000414-05.json,image+text,3020000000414-09-01::3020000000414-05
3020000000414-09-01,3020000000414,3002597890000,포장용 용기,09-01,3020000000414-06,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423006edf72b06342e35d7d678bd865bf2d858f1a1648a0b707d0,img/3020000000414-09-01__3020000000414-06.JPG,2000_json/3020000000414-06.json,image+text,3020000000414-09-01::3020000000414-06
3020000000414-09-01,3020000000414,3002597890000,포장용 용기,09-01,3020000000414-07,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423006edf72b06342e35d7d678bd865bf2d85923a174d37c5ce3c,img/3020000000414-09-01__3020000000414-07.JPG,2000_json/3020000000414-07.json,image+text,3020000000414-09-01::3020000000414-07
3020000000638-09-01,3020000000638,3002570460000,화장품용기,09-01,3020000000638-01,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230099f327e961a5ac512f1a2de92956eab0b7299949995cde22,img/3020000000638-09-01__3020000000638-01.JPG,2000_json/3020000000638-01.json,image+text,3020000000638-09-01::3020000000638-01
3020000000638-09-01,3020000000638,3002570460000,화장품용기,09-01,3020000000638-02,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230099f327e961a5ac512f1a2de92956eab07087fcd83f2414a7,img/3020000000638-09-01__3020000000638-02.JPG,2000_json/3020000000638-02.json,image+text,3020000000638-09-01::3020000000638-02
3020000000638-09-01,3020000000638,3002570460000,화장품용기,09-01,3020000000638-03,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230099f327e961a5ac512f1a2de92956eab0b36ca7a03153462d,img/3020000000638-09-01__3020000000638-03.JPG,2000_json/3020000000638-03.json,image+text,3020000000638-09-01::3020000000638-03
3020000000638-09-01,3020000000638,3002570460000,화장품용기,09-01,3020000000638-04,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230099f327e961a5ac512f1a2de92956eab07116dbbc3421f2a5,img/3020000000638-09-01__3020000000638-04.JPG,2000_json/3020000000638-04.json,image+text,3020000000638-09-01::3020000000638-04
3020000000638-09-01,3020000000638,3002570460000,화장품용기,09-01,3020000000638-05,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230099f327e961a5ac512f1a2de92956eab0faa8b5520f90423b,img/3020000000638-09-01__3020000000638-05.JPG,2000_json/3020000000638-05.json,image+text,3020000000638-09-01::3020000000638-05
3020000000638-09-01,3020000000638,3002570460000,화장품용기,09-01,3020000000638-06,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230099f327e961a5ac512f1a2de92956eab09c45325a18bce387,img/3020000000638-09-01__3020000000638-06.JPG,2000_json/3020000000638-06.json,image+text,3020000000638-09-01::3020000000638-06
3020000000638-09-01,3020000000638,3002570460000,화장품용기,09-01,3020000000638-07,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230099f327e961a5ac512f1a2de92956eab058f0408036181a0a,img/3020000000638-09-01__3020000000638-07.JPG,2000_json/3020000000638-07.json,image+text,3020000000638-09-01::3020000000638-07
3020000000639-09-01,3020000000639,3002573120000,화장품용기,09-01,3020000000639-01,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230099f327e961a5ac51ae48af4135c23fabd05c2dff0c599235,img/3020000000639-09-01__3020000000639-01.JPG,2000_json/3020000000639-01.json,image+text,3020000000639-09-01::3020000000639-01
3020000000639-09-01,3020000000639,3002573120000,화장품용기,09-01,3020000000639-02,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230099f327e961a5ac51ae48af4135c23fab6f670d44b37cad0a,img/3020000000639-09-01__3020000000639-02.JPG,2000_json/3020000000639-02.json,image+text,3020000000639-09-01::3020000000639-02
3020000000639-09-01,3020000000639,3002573120000,화장품용기,09-01,3020000000639-03,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230099f327e961a5ac51ae48af4135c23fabdde41c87458fa86c,img/3020000000639-09-01__3020000000639-03.JPG,2000_json/3020000000639-03.json,image+text,3020000000639-09-01::3020000000639-03
3020000000639-09-01,3020000000639,3002573120000,화장품용기,09-01,3020000000639-04,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230099f327e961a5ac51ae48af4135c23fab99388eb6909d45b8,img/3020000000639-09-01__3020000000639-04.JPG,2000_json/3020000000639-04.json,image+text,3020000000639-09-01::3020000000639-04
3020000000639-09-01,3020000000639,3002573120000,화장품용기,09-01,3020000000639-05,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230099f327e961a5ac51ae48af4135c23fabc63c01b3c5490243,img/3020000000639-09-01__3020000000639-05.JPG,2000_json/3020000000639-05.json,image+text,3020000000639-09-01::3020000000639-05
3020000000639-09-01,3020000000639,3002573120000,화장품용기,09-01,3020000000639-06,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b34230099f327e961a5ac51ae48af4135c23fab7b8341dc6849a8dd,img/3020000000639-09-01__3020000000639-06.JPG,2000_json/3020000000639-06.json,image+text,3020000000639-09-01::3020000000639-06
